cohort_month,month_plus,hit_n,cohort_n,dpd90_rate_at_month_pct
2022-01,3,26,295,8.81
2022-01,4,17,295,5.76
2022-01,5,27,295,9.15
2022-01,6,21,295,7.12
2022-01,7,5,295,1.69
2022-01,8,3,295,1.02
2022-02,3,5,303,1.65
2022-02,4,5,303,1.65
2022-02,5,2,303,0.66
2022-02,6,2,303,0.66
2022-02,7,1,303,0.33
2022-03,3,10,412,2.43
2022-03,4,6,412,1.46
2022-03,5,12,412,2.91
2022-03,6,7,412,1.7
2022-03,8,5,412,1.21
2022-04,3,11,420,2.62
2022-04,4,9,420,2.14
2022-04,5,5,420,1.19
2022-04,6,9,420,2.14
2022-04,8,3,420,0.71
2022-05,3,4,430,0.93
2022-05,4,3,430,0.7
2022-05,5,3,430,0.7
2022-05,6,5,430,1.16
2022-05,7,2,430,0.47
2022-05,8,1,430,0.23
2022-05,10,1,430,0.23
2022-06,3,5,441,1.13
2022-06,4,2,441,0.45
2022-06,5,4,441,0.91
2022-06,6,5,441,1.13
2022-06,8,1,441,0.23
2022-06,9,1,441,0.23
2022-06,11,1,441,0.23
2022-07,3,7,424,1.65
2022-07,4,6,424,1.42
2022-07,5,15,424,3.54
2022-07,6,8,424,1.89
2022-07,7,2,424,0.47
2022-07,8,2,424,0.47
2022-07,14,1,424,0.24
2022-08,3,15,638,2.35
2022-08,4,14,638,2.19
2022-08,5,20,638,3.13
2022-08,6,16,638,2.51
2022-08,7,2,638,0.31
2022-08,8,3,638,0.47
2022-08,9,1,638,0.16
2022-08,10,1,638,0.16
2022-08,12,2,638,0.31
2022-08,14,1,638,0.16
2022-09,3,53,609,8.7
2022-09,4,51,609,8.37
2022-09,5,46,609,7.55
2022-09,6,41,609,6.73
2022-09,7,5,609,0.82
2022-09,8,6,609,0.99
2022-09,22,1,609,0.16
2022-10,3,3,440,0.68
2022-10,4,3,440,0.68
2022-10,5,1,440,0.23
2022-10,6,6,440,1.36
2022-11,3,71,803,8.84
2022-11,4,54,803,6.72
2022-11,5,78,803,9.71
2022-11,6,50,803,6.23
2022-11,7,6,803,0.75
2022-11,8,4,803,0.5
2022-11,11,1,803,0.12
2022-12,3,70,803,8.72
2022-12,4,71,803,8.84
2022-12,5,56,803,6.97
2022-12,6,49,803,6.1
2022-12,7,9,803,1.12
2022-12,8,8,803,1.0
2022-12,12,1,803,0.12
2023-01,3,2,308,0.65
2023-01,4,1,308,0.32
2023-01,5,6,308,1.95
2023-01,6,1,308,0.32
2023-01,7,1,308,0.32
2023-01,8,1,308,0.32
2023-01,9,1,308,0.32
2023-01,13,1,308,0.32
2023-01,26,2,308,0.65
2023-02,3,3,310,0.97
2023-02,4,4,310,1.29
2023-02,5,5,310,1.61
2023-02,6,2,310,0.65
2023-02,9,1,310,0.32
2023-02,12,1,310,0.32
2023-02,25,2,310,0.65
2023-03,3,3,445,0.67
2023-03,4,5,445,1.12
2023-03,5,6,445,1.35
2023-03,6,5,445,1.12
2023-03,24,2,445,0.45
2023-04,3,8,457,1.75
2023-04,4,10,457,2.19
2023-04,5,5,457,1.09
2023-04,6,4,457,0.88
2023-04,7,3,457,0.66
2023-04,11,1,457,0.22
2023-04,23,1,457,0.22
2023-05,3,2,457,0.44
2023-05,4,1,457,0.22
2023-05,5,2,457,0.44
2023-05,6,5,457,1.09
2023-05,22,6,457,1.31
2023-06,3,4,447,0.89
2023-06,4,1,447,0.22
2023-06,5,3,447,0.67
2023-06,6,5,447,1.12
2023-06,21,5,447,1.12
2023-07,3,9,453,1.99
2023-07,4,11,453,2.43
2023-07,5,5,453,1.1
2023-07,6,5,453,1.1
2023-07,7,1,453,0.22
2023-07,8,5,453,1.1
2023-07,20,1,453,0.22
2023-08,3,16,644,2.48
2023-08,4,12,644,1.86
2023-08,5,7,644,1.09
2023-08,6,11,644,1.71
2023-08,7,1,644,0.16
2023-08,8,4,644,0.62
2023-08,9,1,644,0.16
2023-08,19,1,644,0.16
2023-09,3,1,642,0.16
2023-09,4,2,642,0.31
2023-09,5,3,642,0.47
2023-09,6,4,642,0.62
2023-09,7,1,642,0.16
2023-09,18,8,642,1.25
2023-09,19,1,642,0.16
2023-10,3,1,457,0.22
2023-10,4,2,457,0.44
2023-10,5,3,457,0.66
2023-10,6,3,457,0.66
2023-10,8,1,457,0.22
2023-10,9,1,457,0.22
2023-10,17,5,457,1.09
2023-11,3,68,832,8.17
2023-11,4,64,832,7.69
2023-11,5,51,832,6.13
2023-11,6,40,832,4.81
2023-11,7,3,832,0.36
2023-11,8,4,832,0.48
2023-11,10,1,832,0.12
2023-11,12,1,832,0.12
2023-11,13,1,832,0.12
2023-11,16,4,832,0.48
2023-12,3,8,841,0.95
2023-12,4,9,841,1.07
2023-12,5,5,841,0.59
2023-12,6,5,841,0.59
2023-12,7,1,841,0.12
2023-12,8,2,841,0.24
2023-12,11,1,841,0.12
2023-12,13,1,841,0.12
2023-12,15,11,841,1.31
2024-01,3,52,380,13.68
2024-01,4,35,380,9.21
2024-01,5,31,380,8.16
2024-01,6,30,380,7.89
2024-01,7,7,380,1.84
2024-01,8,5,380,1.32
2024-01,9,1,380,0.26
2024-01,10,1,380,0.26
2024-01,14,6,380,1.58
2024-01,15,1,380,0.26
2024-02,3,38,381,9.97
2024-02,4,26,381,6.82
2024-02,5,38,381,9.97
2024-02,6,31,381,8.14
2024-02,7,8,381,2.1
2024-02,8,3,381,0.79
2024-02,13,2,381,0.52
2024-03,3,4,537,0.74
2024-03,4,5,537,0.93
2024-03,5,11,537,2.05
2024-03,6,10,537,1.86
2024-03,8,3,537,0.56
2024-03,9,1,537,0.19
2024-03,12,22,537,4.1
2024-03,13,2,537,0.37
2024-04,4,2,533,0.38
2024-04,5,2,533,0.38
2024-04,6,1,533,0.19
2024-04,11,42,533,7.88
2024-04,12,1,533,0.19
2024-05,3,52,545,9.54
2024-05,4,41,545,7.52
2024-05,5,31,545,5.69
2024-05,6,42,545,7.71
2024-05,7,4,545,0.73
2024-05,8,9,545,1.65
2024-05,9,1,545,0.18
2024-05,10,5,545,0.92
2024-06,3,52,545,9.54
2024-06,4,49,545,8.99
2024-06,5,44,545,8.07
2024-06,6,35,545,6.42
2024-06,7,3,545,0.55
2024-06,8,2,545,0.37
2024-06,9,6,545,1.1
2024-07,3,3,539,0.56
2024-07,4,3,539,0.56
2024-07,6,3,539,0.56
2024-07,7,1,539,0.19
2024-07,8,176,539,32.65
2024-07,9,1,539,0.19
2024-08,3,11,782,1.41
2024-08,4,11,782,1.41
2024-08,5,9,782,1.15
2024-08,6,16,782,2.05
2024-08,7,174,782,22.25
2024-08,8,4,782,0.51
2024-09,3,2,753,0.27
2024-09,4,1,753,0.13
2024-09,5,3,753,0.4
2024-09,6,742,753,98.54
2024-09,7,3,753,0.4
2024-10,3,7,572,1.22
2024-10,4,7,572,1.22
2024-10,5,555,572,97.03
2024-10,6,3,572,0.52
2024-11,3,110,1121,9.81
2024-11,4,1011,1121,90.19
